"Rank","AvgValidacoes","Folder","LoadBalancer","Language","Framework","Database","ErrorCount","Link"
"44","11.902439","nathanbahiadev__golang","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/nathanbahiadev__golang"
"45","11.943089","andretpc","custom","rust","unknown","mongodb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andretpc"
"46","11.95122","lubien-multi-tenant-sqlite","nginx","elixir","phoenix","sqlite","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lubien-multi-tenant-sqlite"
"47","12.081301","rafaeltorquato-saitama","custom","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaeltorquato-saitama"
"48","12.105691","alcides-quarkus","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alcides-quarkus"
"49","12.154472","rodrigo-brito","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodrigo-brito"
"50","12.178862","edy-elixir-e-ranger-de-dentes","nginx","mnesia","elixir","unknown","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/edy-elixir-e-ranger-de-dentes"
"51","12.195122","santannaf_web_go_unlogged","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/santannaf_web_go_unlogged"
"52","12.219512","matheuscamargo","nginx","go","unknown","sqlite","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/matheuscamargo"
"53","12.252033","oloko64","nginx","rust","axum","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/oloko64"
"54","12.252033","alan_albuquerque_capivara_JIT","custom","dotnet","unknown","CapivaraDB","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alan_albuquerque_capivara_JIT"
"55","12.406504","ivmello","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ivmello"
"56","12.406504","enohr","nginx","Go","unknown","PostgreSQL","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/enohr"
"57","12.430894","lpicanco","nginx","rust","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lpicanco"
"58","12.463415","not4rt-rspingora","pingora","rust","actix-web","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/not4rt-rspingora"
"59","12.528455","caravanacloud","nginx","unknown","quarkus","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/caravanacloud"
"60","12.560976","felipeoriani","nginx","C#","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipeoriani"
"61","12.585366","jrblatt","nginx","rust","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jrblatt"
"62","12.674797","oui_tecnologiav2","custom","c","unknown","custom","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/oui_tecnologiav2"
"63","12.731707","pedrohenriquea-pgbouncer","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/pedrohenriquea-pgbouncer"
"64","12.739837","lbaesso-php","nginx","php","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lbaesso-php"
"65","12.747967","rafaelktakahashi","nginx","rust","actix-web","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelktakahashi"
"66","12.756098","lubien-phoenixqlite","nginx","elixir","phoenix","sqlite","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lubien-phoenixqlite"
"67","12.780488","hlscalon-go","custom","go","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/hlscalon-go"
"68","12.796748","jonasfeanor","nginx","go","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jonasfeanor"
"69","12.829268","rayan-elixir","nginx","elixir","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rayan-elixir"
"70","12.853659","gasparbarancelli-java-sem-framework","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gasparbarancelli-java-sem-framework"
"71","12.894309","gustavonovaes-go","nginx","go","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gustavonovaes-go"
"72","12.926829","fabionaspolini-sync","nginx","dotnet","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/fabionaspolini-sync"
"73","12.95122","oui_tecnologia","custom","c","unknown","unknown","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/oui_tecnologia"
"74","12.98374","guiestimo","nginx","dotnet","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/guiestimo"
"75","13.056911","ogabriel-golang","nginx","golang","gin","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ogabriel-golang"
"76","13.097561","wiliamvj","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/wiliamvj"
"77","13.268293","jpcairesf-go","nginx","go","unknown","unknown","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jpcairesf-go"
"78","13.284553","giovannibassi-nonpooled","custom",".NET","unknown","Postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/giovannibassi-nonpooled"
"79","13.341463","felipemarkson","nginx","C","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipemarkson"
"80","13.373984","josebaroni","nginx","go","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/josebaroni"
"81","13.382114","garnizeh","nginx","go","unknown","PostgreSQL","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/garnizeh"
"82","13.390244","lipe1994_drogon","","","","","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lipe1994_drogon"
"83","13.390244","marcospaulo-go","nginx","Go","unknown","PostgreSQL","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcospaulo-go"
